Біграма,Кількість,Частота
то,4353,0.01459162
ни,3721,0.01247310
ст,3689,0.01236583
на,3612,0.01210772
по,3557,0.01192336
ли,3553,0.01190995
ен,3356,0.01124959
но,3339,0.01119260
ов,3309,0.01109204
не,3259,0.01092444
ер,3208,0.01075348
он,3140,0.01052554
во,3107,0.01041492
ко,3089,0.01035458
ос,3085,0.01034117
от,2926,0.00980819
ал,2891,0.00969087
ра,2624,0.00879586
ро,2590,0.00868189
ол,2439,0.00817573
пр,2291,0.00767962
ка,2252,0.00754889
ло,2224,0.00745503
ив,2188,0.00733436
ре,2172,0.00728072
ом,2138,0.00716675
ве,2101,0.00704273
ва,2100,0.00703937
ин,2086,0.00699244
ор,2051,0.00687512
од,2043,0.00684830
ел,2029,0.00680138
ес,2024,0.00678462
го,2017,0.00676115
ис,1977,0.00662707
ил,1930,0.00646952
ле,1928,0.00646282
ны,1921,0.00643935
об,1812,0.00607397
та,1793,0.00601028
ан,1761,0.00590302
ри,1731,0.00580246
се,1726,0.00578569
ть,1715,0.00574882
ог,1675,0.00561474
де,1661,0.00556781
за,1656,0.00555105
ед,1628,0.00545719
ет,1615,0.00541361
ль,1599,0.00535998
ас,1582,0.00530299
да,1552,0.00520243
те,1529,0.00512533
ит,1518,0.00508846
ла,1511,0.00506500
ак,1498,0.00502142
ем,1479,0.00495773
ок,1477,0.00495103
ав,1434,0.00480689
вс,1426,0.00478007
ме,1420,0.00475996
ап,1418,0.00475325
ми,1404,0.00470632
ат,1377,0.00461582
ви,1352,0.00453202
аз,1307,0.00438117
до,1304,0.00437112
из,1289,0.00432083
сь,1281,0.00429402
бы,1255,0.00420686
ам,1250,0.00419010
ик,1220,0.00408954
еп,1170,0.00392194
им,1161,0.00389177
ев,1152,0.00386160
мо,1150,0.00385490
чт,1148,0.00384819
ти,1140,0.00382137
бо,1137,0.00381132
оп,1137,0.00381132
ск,1116,0.00374092
ие,1101,0.00369064
че,1094,0.00366718
со,1088,0.00364707
тр,1084,0.00363366
тв,1069,0.00358338
тн,1047,0.00350963
ой,1046,0.00350628
сл,1045,0.00350293
же,1037,0.00347611
ьн,1020,0.00341912
жи,1002,0.00335879
нн,999,0.00334873
ип,980,0.00328504
ся,961,0.00322135
ег,949,0.00318113
ру,935,0.00313420
св,923,0.00309397
ки,921,0.00308727
ые,921,0.00308727
пе,918,0.00307721
вы,918,0.00307721
ад,910,0.00305040
ыл,900,0.00301687
ео,899,0.00301352
сн,883,0.00295989
ар,880,0.00294983
их,875,0.00293307
ди,873,0.00292637
ои,826,0.00276882
уд,821,0.00275206
ое,819,0.00274536
еж,774,0.00259451
ну,765,0.00256434
дн,763,0.00255764
эт,756,0.00253417
ей,742,0.00248725
оч,734,0.00246043
мн,721,0.00241685
ии,716,0.00240009
ид,714,0.00239339
кр,710,0.00237998
хо,697,0.00233640
ше,673,0.00225595
ры,671,0.00224925
са,666,0.00223249
оз,653,0.00218891
ма,647,0.00216880
ут,645,0.00216209
ьк,640,0.00214533
аб,637,0.00213528
еб,634,0.00212522
ая,631,0.00211516
ча,629,0.00210846
ия,624,0.00209170
ез,622,0.00208500
ио,619,0.00207494
ож,618,0.00207159
ьс,616,0.00206488
ек,597,0.00200119
ус,592,0.00198443
ич,592,0.00198443
ун,592,0.00198443
бе,587,0.00196767
лс,577,0.00193415
гд,573,0.00192074
ых,570,0.00191069
аж,569,0.00190734
ку,565,0.00189393
сп,561,0.00188052
ыв,559,0.00187381
му,558,0.00187046
еч,556,0.00186376
ят,554,0.00185705
вн,554,0.00185705
ще,535,0.00179336
зв,531,0.00177996
ля,530,0.00177660
ым,523,0.00175314
зн,522,0.00174979
чи,520,0.00174308
уж,518,0.00173638
нь,511,0.00171291
лу,508,0.00170286
си,507,0.00169951
ян,507,0.00169951
оо,501,0.00167939
ту,499,0.00167269
ее,497,0.00166599
ду,497,0.00166599
иб,496,0.00166263
рм,484,0.00162241
уг,475,0.00159224
ир,471,0.00157883
гл,468,0.00156877
мы,464,0.00155537
ьв,462,0.00154866
дв,461,0.00154531
жа,461,0.00154531
яв,458,0.00153525
ый,457,0.00153190
бр,456,0.00152855
нс,450,0.00150844
ыс,448,0.00150173
уп,446,0.00149503
тс,444,0.00148832
бу,443,0.00148497
ня,429,0.00143804
фе,428,0.00143469
ши,425,0.00142464
па,421,0.00141123
аг,420,0.00140787
яс,420,0.00140787
ты,417,0.00139782
др,416,0.00139447
жд,412,0.00138106
ао,407,0.00136430
аи,404,0.00135424
гу,400,0.00134083
аш,400,0.00134083
жо,396,0.00132742
ув,394,0.00132072
уч,392,0.00131402
пи,391,0.00131066
ря,383,0.00128385
га,380,0.00127379
кт,374,0.00125368
кс,373,0.00125033
ум,370,0.00124027
вр,367,0.00123021
ял,367,0.00123021
йс,364,0.00122016
еи,363,0.00121681
ае,359,0.00120340
ги,359,0.00120340
ач,356,0.00119334
ьи,355,0.00118999
ах,348,0.00116652
иц,348,0.00116652
ую,347,0.00116317
ош,345,0.00115647
ву,343,0.00114976
би,338,0.00113300
мс,334,0.00111960
вп,334,0.00111960
ьп,333,0.00111624
вл,323,0.00108272
лю,322,0.00107937
дл,321,0.00107602
яп,317,0.00106261
мп,313,0.00104920
щи,313,0.00104920
зг,310,0.00103915
ыт,306,0.00102574
ех,303,0.00101568
ук,298,0.00099892
рн,297,0.00099557
дж,293,0.00098216
мв,291,0.00097546
ий,290,0.00097210
лн,290,0.00097210
ын,286,0.00095870
сс,283,0.00094864
ьш,282,0.00094529
ул,282,0.00094529
ды,281,0.00094194
еу,280,0.00093858
ищ,270,0.00090506
жн,269,0.00090171
яд,267,0.00089501
рь,266,0.00089165
пл,259,0.00086819
хв,259,0.00086819
ям,257,0.00086149
зо,256,0.00085813
мк,256,0.00085813
ещ,255,0.00085478
см,254,0.00085143
хс,254,0.00085143
ур,253,0.00084808
иу,252,0.00084472
оя,247,0.00082796
ша,246,0.00082461
гр,245,0.00082126
йн,245,0.00082126
вд,245,0.00082126
яи,245,0.00082126
ье,244,0.00081791
бл,243,0.00081456
як,243,0.00081456
зд,240,0.00080450
тя,239,0.00080115
