Біграма,Кількість,Частота
то,8713,0.01460335
ни,7407,0.01241444
ст,7364,0.01234237
на,7219,0.01209934
по,7198,0.01206415
ли,7109,0.01191498
ен,6704,0.01123618
но,6682,0.01119931
ов,6673,0.01118422
не,6547,0.01097304
ер,6452,0.01081382
он,6267,0.01050375
во,6215,0.01041660
ко,6184,0.01036464
ос,6157,0.01031939
от,5835,0.00977970
ал,5801,0.00972272
ра,5310,0.00889978
ро,5110,0.00856457
ол,4854,0.00813550
пр,4606,0.00771985
ка,4512,0.00756230
ло,4445,0.00745000
ив,4341,0.00727570
ре,4337,0.00726899
ом,4260,0.00713994
ва,4198,0.00703602
ин,4196,0.00703267
ве,4159,0.00697066
ор,4104,0.00687847
ел,4086,0.00684830
од,4083,0.00684328
ес,4062,0.00680808
го,4022,0.00674104
ис,3941,0.00660528
ле,3896,0.00652986
ил,3838,0.00643265
ны,3821,0.00640415
об,3610,0.00605051
та,3583,0.00600526
ан,3539,0.00593151
се,3494,0.00585609
ри,3444,0.00577229
ть,3444,0.00577229
ог,3338,0.00559463
за,3317,0.00555943
де,3288,0.00551082
ет,3258,0.00546054
ед,3239,0.00542870
ль,3187,0.00534154
ас,3145,0.00527115
да,3089,0.00517729
те,3040,0.00509517
ит,3038,0.00509181
ла,3021,0.00506332
ак,3001,0.00502980
ок,2951,0.00494600
ем,2937,0.00492253
ме,2849,0.00477504
ав,2848,0.00477337
ми,2847,0.00477169
вс,2845,0.00476834
ап,2818,0.00472308
ат,2756,0.00461917
ви,2681,0.00449347
до,2625,0.00439961
аз,2607,0.00436944
сь,2570,0.00430743
из,2569,0.00430575
бы,2520,0.00422362
ам,2490,0.00417334
ик,2451,0.00410798
ев,2331,0.00390685
им,2328,0.00390182
еп,2324,0.00389512
мо,2299,0.00385322
ти,2295,0.00384651
бо,2291,0.00383981
чт,2291,0.00383981
оп,2272,0.00380797
ск,2236,0.00374763
че,2215,0.00371243
ие,2205,0.00369567
тр,2180,0.00365377
со,2173,0.00364204
тв,2156,0.00361355
ой,2104,0.00352639
тн,2099,0.00351801
же,2073,0.00347443
сл,2060,0.00345265
ьн,2051,0.00343756
жи,2026,0.00339566
нн,1989,0.00333365
ип,1935,0.00324314
ся,1924,0.00322470
