Біграма,Кількість,Частота
и ,7927,0.02240044
е ,6871,0.01941635
о ,6654,0.01880314
 п,5775,0.01631923
 в,5719,0.01616098
 с,5664,0.01600556
 н,5621,0.01588405
а ,5471,0.01546017
то,4266,0.01205504
 о,3678,0.01039344
ст,3634,0.01026910
ни,3631,0.01026063
на,3610,0.01020128
по,3594,0.01015607
ь ,3482,0.00983958
ли,3439,0.00971807
 и,3418,0.00965872
но,3239,0.00915290
не,3237,0.00914725
 к,3108,0.00878271
ер,3025,0.00854817
ко,2991,0.00845209
во,2930,0.00827971
я ,2904,0.00820624
ал,2817,0.00796039
м ,2749,0.00776824
ен,2735,0.00772867
ра,2625,0.00741783
от,2602,0.00735284
ов,2597,0.00733871
 д,2586,0.00730762
ро,2489,0.00703352
он,2471,0.00698265
 б,2470,0.00697983
 т,2444,0.00690635
й ,2337,0.00660399
ол,2319,0.00655312
ос,2319,0.00655312
пр,2290,0.00647118
ка,2248,0.00635249
ре,2178,0.00615468
в ,2112,0.00596818
ва,2076,0.00586645
ве,2067,0.00584101
ло,2059,0.00581841
го,2001,0.00565451
ел,1939,0.00547930
ны,1924,0.00543692
ле,1899,0.00536627
ор,1894,0.00535214
ом,1846,0.00521650
ы ,1842,0.00520520
х ,1822,0.00514868
ил,1819,0.00514020
та,1798,0.00508086
 м,1796,0.00507521
у ,1780,0.00503000
 з,1776,0.00501869
 ч,1759,0.00497065
од,1756,0.00496218
ть,1736,0.00490566
се,1719,0.00485762
л ,1707,0.00482371
ри,1695,0.00478980
за,1648,0.00465699
де,1616,0.00456656
ль,1599,0.00451852
ог,1566,0.00442527
да,1549,0.00437723
т ,1534,0.00433484
те,1502,0.00424441
ла,1492,0.00421615
 у,1474,0.00416529
об,1432,0.00404660
 р,1402,0.00396183
ме,1398,0.00395053
ес,1385,0.00391379
ин,1361,0.00384597
н ,1325,0.00374424
ив,1314,0.00371315
ед,1308,0.00369620
ет,1299,0.00367077
сь,1279,0.00361425
ви,1278,0.00361142
до,1278,0.00361142
к ,1269,0.00358599
бы,1263,0.00356904
ми,1247,0.00352382
ис,1218,0.00344187
ок,1217,0.00343905
ем,1201,0.00339383
ит,1200,0.00339101
ан,1200,0.00339101
ак,1181,0.00333732
чт,1144,0.00323276
ат,1142,0.00322711
бо,1140,0.00322146
аз,1132,0.00319885
вс,1120,0.00316494
че,1116,0.00315364
 ж,1096,0.00309712
ас,1067,0.00301517
ам,1065,0.00300952
тр,1053,0.00297561
ой,1049,0.00296431
ск,1045,0.00295300
ти,1039,0.00293605
же,1027,0.00290214
из,1016,0.00287105
со,1014,0.00286540
 г,1013,0.00286258
сл,1013,0.00286258
жи,999,0.00282301
им,982,0.00277498
 е,961,0.00271563
мо,960,0.00271281
ся,949,0.00268172
ру,940,0.00265629
ав,940,0.00265629
вы,926,0.00261673
пе,922,0.00260543
ые,908,0.00256586
тв,901,0.00254608
ие,891,0.00251782
ыл,877,0.00247826
с ,873,0.00246696
нн,870,0.00245848
тн,865,0.00244435
ю ,843,0.00238218
ки,837,0.00236523
св,835,0.00235958
ди,834,0.00235675
ег,819,0.00231436
их,811,0.00229176
ап,780,0.00220416
 э,777,0.00219568
ар,772,0.00218155
сн,757,0.00213916
 л,752,0.00212503
эт,749,0.00211655
уд,737,0.00208264
ей,728,0.00205721
ик,718,0.00202895
дн,716,0.00202330
ну,714,0.00201765
ое,690,0.00194983
ры,676,0.00191027
ше,668,0.00188766
са,667,0.00188484
кр,657,0.00185658
 ф,642,0.00181419
ад,628,0.00177463
ьн,615,0.00173789
ча,614,0.00173507
ма,612,0.00172941
еж,605,0.00170963
бе,599,0.00169268
ут,586,0.00165594
ая,584,0.00165029
ия,569,0.00160790
хо,566,0.00159943
з ,565,0.00159660
ых,565,0.00159660
гд,553,0.00156269
ку,523,0.00147791
оч,522,0.00147509
 а,521,0.00147226
ля,520,0.00146944
ще,520,0.00146944
чи,513,0.00144966
ож,507,0.00143270
нь,504,0.00142422
ду,501,0.00141575
ео,499,0.00141009
му,496,0.00140162
сп,492,0.00139031
оз,485,0.00137053
лу,483,0.00136488
аж,481,0.00135923
оп,473,0.00133662
ым,468,0.00132249
гл,468,0.00132249
зв,467,0.00131967
ои,464,0.00131119
ту,459,0.00129706
жа,459,0.00129706
мы,454,0.00128293
рм,454,0.00128293
си,453,0.00128011
ый,449,0.00126880
бр,449,0.00126880
ус,446,0.00126032
ят,444,0.00125467
р ,443,0.00125185
бу,441,0.00124620
уг,439,0.00124054
ьк,436,0.00123207
мн,436,0.00123207
зн,434,0.00122641
ши,432,0.00122076
ев,432,0.00122076
уж,429,0.00121229
па,418,0.00118120
аб,415,0.00117272
дв,413,0.00116707
ее,410,0.00115859
ня,410,0.00115859
фе,409,0.00115577
 х,409,0.00115577
жд,408,0.00115294
д ,407,0.00115012
ты,398,0.00112468
пи,396,0.00111903
жо,395,0.00111621
др,395,0.00111621
вн,394,0.00111338
гу,390,0.00110208
еп,385,0.00108795
га,382,0.00107947
ря,374,0.00105686
лс,374,0.00105686
 я,366,0.00103426
ез,361,0.00102013
аш,353,0.00099752
ую,350,0.00098904
ыв,347,0.00098057
ид,345,0.00097492
ун,344,0.00097209
ги,340,0.00096079
ял,337,0.00095231
уч,330,0.00093253
иц,329,0.00092970
лю,326,0.00092122
нс,325,0.00091840
би,321,0.00090709
вр,319,0.00090144
тс,318,0.00089862
ах,315,0.00089014
ош,314,0.00088731
щи,308,0.00087036
еч,307,0.00086753
г ,305,0.00086188
вл,304,0.00085906
зг,302,0.00085340
дл,296,0.00083645
ву,296,0.00083645
ум,289,0.00081667
кс,288,0.00081384
ич,286,0.00080819
ды,285,0.00080536
дж,284,0.00080254
ий,284,0.00080254
ьс,279,0.00078841
уп,279,0.00078841
еб,277,0.00078276
ьш,277,0.00078276
рн,276,0.00077993
жн,275,0.00077711
аг,274,0.00077428
ек,274,0.00077428
ищ,273,0.00077145
ии,268,0.00075733
ул,266,0.00075167
рь,263,0.00074320
кт,262,0.00074037
ша,257,0.00072624
ир,255,0.00072059
ещ,254,0.00071776
пл,251,0.00070929
ач,250,0.00070646
бл,243,0.00068668
гр,242,0.00068385
ае,240,0.00067820
ыс,238,0.00067255
ба,234,0.00066125
тя,233,0.00065842
зо,229,0.00064712
ыт,226,0.00063864
ур,226,0.00063864
кл,222,0.00062734
сс,218,0.00061603
рт,218,0.00061603
см,218,0.00061603
зд,212,0.00059908
ех,208,0.00058777
це,207,0.00058495
ай,206,0.00058212
лы,204,0.00057647
шл,201,0.00056799
ув,200,0.00056517
еш,200,0.00056517
уб,196,0.00055386
пу,195,0.00055104
оя,191,0.00053974
ян,189,0.00053408
шк,189,0.00053408
жк,187,0.00052843
дь,187,0.00052843
нт,186,0.00052561
мя,184,0.00051995
ук,184,0.00051995
су,183,0.00051713
ух,183,0.00051713
ох,182,0.00051430
чн,179,0.00050583
цы,179,0.00050583
ям,178,0.00050300
ца,174,0.00049170
вш,172,0.00048604
зм,170,0.00048039
рж,169,0.00047757
тк,168,0.00047474
зи,166,0.00046909
 ш,161,0.00045496
ье,161,0.00045496
яс,160,0.00045213
ке,156,0.00044083
зе,154,0.00043518
яв,148,0.00041822
яд,146,0.00041257
иб,144,0.00040692
пы,144,0.00040692
ью,142,0.00040127
зу,141,0.00039844
уш,140,0.00039562
лк,139,0.00039279
ию,139,0.00039279
зр,136,0.00038431
вз,134,0.00037866
ср,130,0.00036736
ха,130,0.00036736
дс,130,0.00036736
аю,129,0.00036453
ыр,129,0.00036453
ыш,127,0.00035888
 ц,125,0.00035323
ци,125,0.00035323
бя,124,0.00035040
рв,123,0.00034758
рс,122,0.00034475
юд,121,0.00034193
шн,120,0.00033910
ц ,119,0.00033628
вп,119,0.00033628
чь,118,0.00033345
нг,117,0.00033062
иг,117,0.00033062
дя,117,0.00033062
ьи,117,0.00033062
сы,115,0.00032497
зы,114,0.00032215
бн,114,0.00032215
лн,114,0.00032215
вд,113,0.00031932
иш,112,0.00031649
чу,112,0.00031649
хв,112,0.00031649
зл,111,0.00031367
ях,108,0.00030519
ща,108,0.00030519
рг,107,0.00030236
ья,107,0.00030236
пс,107,0.00030236
ют,106,0.00029954
кн,106,0.00029954
рд,105,0.00029671
фр,105,0.00029671
сч,105,0.00029671
ющ,105,0.00029671
ец,104,0.00029389
нч,104,0.00029389
нд,103,0.00029106
лж,102,0.00028824
нк,101,0.00028541
лл,99,0.00027976
нц,97,0.00027411
йс,97,0.00027411
пя,97,0.00027411
ущ,95,0.00026845
ея,92,0.00025998
шо,92,0.00025998
ип,91,0.00025715
гн,89,0.00025150
мл,89,0.00025150
бъ,88,0.00024867
хр,86,0.00024302
чк,85,0.00024020
бщ,84,0.00023737
яж,84,0.00023737
ъя,84,0.00023737
ге,81,0.00022889
ык,79,0.00022324
юб,79,0.00022324
ыч,79,0.00022324
зб,78,0.00022042
вя,78,0.00022042
хи,77,0.00021759
ню,75,0.00021194
рш,75,0.00021194
дк,75,0.00021194
ящ,75,0.00021194
ын,75,0.00021194
б ,74,0.00020911
ьб,71,0.00020063
тл,71,0.00020063
ащ,71,0.00020063
сд,70,0.00019781
йн,69,0.00019498
рк,68,0.00019216
аи,67,0.00018933
сх,67,0.00018933
вц,66,0.00018651
ыг,66,0.00018651
бс,65,0.00018368
гт,64,0.00018085
зя,63,0.00017803
фо,62,0.00017520
оо,61,0.00017238
як,61,0.00017238
мп,60,0.00016955
уе,60,0.00016955
цу,60,0.00016955
ып,56,0.00015825
иж,56,0.00015825
дп,56,0.00015825
ощ,55,0.00015542
рю,53,0.00014977
ыд,53,0.00014977
бх,53,0.00014977
фу,53,0.00014977
вт,52,0.00014694
пт,52,0.00014694
яз,51,0.00014412
щ ,51,0.00014412
ьз,50,0.00014129
вм,50,0.00014129
хл,50,0.00014129
дт,49,0.00013847
йо,49,0.00013847
ою,49,0.00013847
ио,49,0.00013847
юч,48,0.00013564
яе,48,0.00013564
шу,47,0.00013281
тч,47,0.00013281
рх,46,0.00012999
хн,46,0.00012999
вь,46,0.00012999
яр,45,0.00012716
вк,45,0.00012716
лг,44,0.00012434
йт,44,0.00012434
пн,43,0.00012151
гк,43,0.00012151
ац,42,0.00011869
йш,42,0.00011869
яг,42,0.00011869
кв,42,0.00011869
сю,42,0.00011869
мк,42,0.00011869
уз,41,0.00011586
цо,41,0.00011586
еу,40,0.00011303
ьм,40,0.00011303
ею,39,0.00011021
дц,39,0.00011021
яб,39,0.00011021
чш,38,0.00010738
еи,38,0.00010738
тп,38,0.00010738
фи,38,0.00010738
йл,37,0.00010456
жь,37,0.00010456
ху,37,0.00010456
щу,37,0.00010456
ш ,36,0.00010173
зк,36,0.00010173
яи,35,0.00009890
лч,35,0.00009890
тб,35,0.00009890
йк,34,0.00009608
фл,34,0.00009608
иа,34,0.00009608
юк,34,0.00009608
юр,33,0.00009325
йч,33,0.00009325
шь,32,0.00009043
яч,32,0.00009043
яй,32,0.00009043
ьд,31,0.00008760
яя,31,0.00008760
ж ,30,0.00008478
дд,30,0.00008478
оц,29,0.00008195
пк,29,0.00008195
йд,28,0.00007912
уя,28,0.00007912
мю,28,0.00007912
яю,28,0.00007912
ыз,28,0.00007912
тд,28,0.00007912
мс,27,0.00007630
мь,27,0.00007630
юх,27,0.00007630
ыб,27,0.00007630
сб,26,0.00007347
шт,26,0.00007347
фа,26,0.00007347
чф,26,0.00007347
 щ,25,0.00007065
бк,25,0.00007065
сг,24,0.00006782
рч,24,0.00006782
зж,23,0.00006499
ъе,23,0.00006499
йц,22,0.00006217
ау,22,0.00006217
эк,22,0.00006217
вв,22,0.00006217
цв,21,0.00005934
бь,21,0.00005934
гш,21,0.00005934
сц,21,0.00005934
мч,20,0.00005652
рп,20,0.00005652
оу,19,0.00005369
нз,19,0.00005369
эл,19,0.00005369
щн,18,0.00005087
жу,18,0.00005087
гс,18,0.00005087
пь,17,0.00004804
рл,17,0.00004804
дх,17,0.00004804
дю,16,0.00004521
оэ,16,0.00004521
йм,16,0.00004521
хс,16,0.00004521
чо,15,0.00004239
мб,15,0.00004239
тм,14,0.00003956
оф,14,0.00003956
рб,14,0.00003956
п ,14,0.00003956
тщ,14,0.00003956
лм,14,0.00003956
кц,14,0.00003956
сш,14,0.00003956
юж,13,0.00003674
ч ,13,0.00003674
дз,13,0.00003674
ао,13,0.00003674
бш,13,0.00003674
ьт,13,0.00003674
кж,13,0.00003674
дб,12,0.00003391
ьц,12,0.00003391
ыж,12,0.00003391
вч,11,0.00003108
ыя,11,0.00003108
гч,11,0.00003108
юс,11,0.00003108
аф,11,0.00003108
чм,11,0.00003108
 ю,11,0.00003108
хе,11,0.00003108
вх,10,0.00002826
рц,10,0.00002826
ыу,10,0.00002826
дъ,10,0.00002826
чр,10,0.00002826
ьг,10,0.00002826
лд,10,0.00002826
тг,10,0.00002826
тт,9,0.00002543
шп,9,0.00002543
яц,9,0.00002543
хт,9,0.00002543
лф,9,0.00002543
тц,9,0.00002543
нв,9,0.00002543
мг,9,0.00002543
зъ,9,0.00002543
лб,9,0.00002543
вг,9,0.00002543
мм,9,0.00002543
эн,9,0.00002543
лт,9,0.00002543
дч,9,0.00002543
хд,8,0.00002261
бд,8,0.00002261
жб,8,0.00002261
уа,8,0.00002261
иф,8,0.00002261
щь,8,0.00002261
зь,8,0.00002261
яп,7,0.00001978
юн,7,0.00001978
пп,7,0.00001978
чв,7,0.00001978
рр,7,0.00001978
юю,7,0.00001978
уй,7,0.00001978
чл,7,0.00001978
гв,7,0.00001978
пш,7,0.00001978
лщ,7,0.00001978
уф,7,0.00001978
нр,7,0.00001978
бв,7,0.00001978
мв,6,0.00001696
ьч,6,0.00001696
рз,6,0.00001696
жм,5,0.00001413
хм,5,0.00001413
сз,5,0.00001413
дм,5,0.00001413
бм,5,0.00001413
дг,5,0.00001413
ыи,5,0.00001413
вщ,5,0.00001413
вб,5,0.00001413
нщ,5,0.00001413
юй,5,0.00001413
нф,5,0.00001413
сж,5,0.00001413
тх,4,0.00001130
жг,4,0.00001130
юв,4,0.00001130
йщ,4,0.00001130
зз,4,0.00001130
мр,4,0.00001130
кш,4,0.00001130
юш,4,0.00001130
цк,4,0.00001130
рщ,4,0.00001130
юц,4,0.00001130
лв,4,0.00001130
яш,4,0.00001130
дш,4,0.00001130
жв,3,0.00000848
уо,3,0.00000848
жж,3,0.00000848
кч,3,0.00000848
юл,3,0.00000848
шв,3,0.00000848
бч,3,0.00000848
лп,3,0.00000848
хш,3,0.00000848
ьж,3,0.00000848
эф,3,0.00000848
иу,3,0.00000848
мф,3,0.00000848
пч,3,0.00000848
нб,3,0.00000848
ыщ,3,0.00000848
кк,2,0.00000565
лз,2,0.00000565
бг,2,0.00000565
юм,2,0.00000565
эп,2,0.00000565
еф,2,0.00000565
юз,2,0.00000565
бб,2,0.00000565
ьв,2,0.00000565
ф ,2,0.00000565
