Біграма,Кількість,Частота
и ,15848,0.02239196
е ,13759,0.01944037
о ,13327,0.01882999
 п,11510,0.01626271
 в,11490,0.01623445
 с,11333,0.01601263
 н,11234,0.01587275
а ,10927,0.01543898
то,8547,0.01207623
 о,7385,0.01043442
ст,7234,0.01022107
ни,7225,0.01020835
по,7198,0.01017020
на,7194,0.01016455
ь ,6995,0.00988338
ли,6860,0.00969263
 и,6847,0.00967427
не,6512,0.00920094
но,6469,0.00914018
 к,6207,0.00877000
ер,6031,0.00852132
ко,5951,0.00840829
во,5873,0.00829808
я ,5765,0.00814549
ал,5665,0.00800419
м ,5491,0.00775835
ен,5477,0.00773856
ра,5300,0.00748848
ов,5203,0.00735142
от,5192,0.00733588
 д,5149,0.00727513
ро,5035,0.00711405
 б,4980,0.00703634
он,4915,0.00694450
 т,4881,0.00689646
ол,4658,0.00658138
й ,4634,0.00654747
ос,4630,0.00654182
пр,4606,0.00650791
ка,4502,0.00636097
ре,4318,0.00610099
в ,4202,0.00593709
ва,4128,0.00583254
ло,4116,0.00581558
ве,4108,0.00580428
го,3985,0.00563049
ел,3871,0.00546941
ны,3821,0.00539877
ле,3809,0.00538181
ор,3770,0.00532671
ом,3694,0.00521933
ы ,3653,0.00516140
х ,3651,0.00515857
ил,3628,0.00512607
 м,3597,0.00508227
у ,3591,0.00507380
та,3583,0.00506249
 з,3548,0.00501304
 ч,3525,0.00498054
од,3482,0.00491979
се,3457,0.00488447
ть,3444,0.00486610
л ,3417,0.00482795
ри,3353,0.00473752
за,3312,0.00467959
де,3274,0.00462590
ль,3187,0.00450298
ог,3125,0.00441538
да,3075,0.00434473
т ,3066,0.00433201
ла,2993,0.00422887
те,2987,0.00422039
 у,2958,0.00417942
об,2850,0.00402682
ме,2794,0.00394770
 р,2786,0.00393640
ес,2771,0.00391520
ин,2750,0.00388553
н ,2668,0.00376967
ет,2638,0.00372728
ед,2630,0.00371598
ив,2618,0.00369903
до,2591,0.00366088
сь,2570,0.00363121
ви,2548,0.00360012
к ,2541,0.00359023
бы,2520,0.00356056
ми,2493,0.00352241
ок,2437,0.00344329
ис,2425,0.00342633
ем,2417,0.00341503
ан,2406,0.00339949
ит,2393,0.00338112
ак,2358,0.00333167
ат,2291,0.00323700
чт,2291,0.00323700
бо,2282,0.00322428
вс,2273,0.00321157
аз,2251,0.00318048
че,2215,0.00312962
 ж,2141,0.00302506
ам,2136,0.00301800
ас,2125,0.00300246
тр,2111,0.00298267
ой,2104,0.00297278
ти,2103,0.00297137
ск,2101,0.00296855
же,2068,0.00292192
 г,2050,0.00289649
сл,2033,0.00287247
со,2019,0.00285269
жи,2011,0.00284138
из,2007,0.00283573
им,1964,0.00277498
ся,1919,0.00271139
мо,1911,0.00270009
 е,1902,0.00268737
ру,1873,0.00264640
ав,1850,0.00261390
пе,1834,0.00259130
вы,1832,0.00258847
ые,1820,0.00257151
тв,1809,0.00255597
ие,1787,0.00252489
ыл,1769,0.00249946
с ,1756,0.00248109
тн,1742,0.00246131
нн,1739,0.00245707
св,1696,0.00239631
ки,1678,0.00237088
ди,1676,0.00236805
ю ,1662,0.00234827
ег,1637,0.00231295
их,1612,0.00227763
 э,1567,0.00221405
ап,1560,0.00220416
ар,1542,0.00217872
сн,1520,0.00214764
 л,1499,0.00211797
эт,1489,0.00210384
уд,1476,0.00208547
ей,1463,0.00206710
ик,1441,0.00203602
дн,1429,0.00201906
ну,1423,0.00201059
ое,1375,0.00194277
ше,1341,0.00189473
ры,1335,0.00188625
са,1334,0.00188484
кр,1312,0.00185375
 ф,1279,0.00180713
ад,1250,0.00176615
ча,1245,0.00175909
ьн,1235,0.00174496
еж,1211,0.00171105
ма,1196,0.00168985
ая,1173,0.00165736
бе,1167,0.00164888
ут,1163,0.00164323
з ,1144,0.00161638
хо,1144,0.00161638
ия,1136,0.00160508
ых,1132,0.00159943
гд,1109,0.00156693
ку,1052,0.00148639
ще,1042,0.00147226
 а,1036,0.00146379
ля,1031,0.00145672
чи,1023,0.00144542
оч,1021,0.00144259
ож,1010,0.00142705
нь,1007,0.00142281
ео,992,0.00140162
му,988,0.00139597
ду,984,0.00139031
сп,968,0.00136771
аж,966,0.00136488
лу,948,0.00133945
оз,946,0.00133662
оп,945,0.00133521
ои,943,0.00133238
ым,937,0.00132391
зв,937,0.00132391
рм,935,0.00132108
гл,927,0.00130978
жа,922,0.00130271
ту,919,0.00129847
си,917,0.00129565
мы,914,0.00129141
ый,911,0.00128717
ят,906,0.00128011
бр,901,0.00127304
ус,894,0.00126315
уг,892,0.00126032
р ,890,0.00125750
зн,879,0.00124196
бу,878,0.00124054
ьк,875,0.00123631
мн,875,0.00123631
ев,872,0.00123207
уж,863,0.00121935
ши,861,0.00121652
па,841,0.00118827
фе,835,0.00117979
аб,832,0.00117555
ты,832,0.00117555
дв,829,0.00117131
д ,822,0.00116142
жд,815,0.00115153
ня,813,0.00114870
 х,809,0.00114305
ее,806,0.00113881
пи,796,0.00112468
др,790,0.00111621
вн,789,0.00111479
жо,785,0.00110914
гу,779,0.00110066
еп,770,0.00108795
га,761,0.00107523
лс,744,0.00105121
ря,743,0.00104980
 я,741,0.00104697
ез,727,0.00102719
аш,719,0.00101589
ую,705,0.00099611
ид,696,0.00098339
ыв,693,0.00097915
ги,687,0.00097068
ун,684,0.00096644
ял,682,0.00096361
би,654,0.00092405
лю,651,0.00091981
уч,649,0.00091699
нс,644,0.00090992
иц,644,0.00090992
ош,640,0.00090427
ах,632,0.00089297
вр,629,0.00088873
еч,629,0.00088873
щи,627,0.00088590
тс,622,0.00087884
вл,616,0.00087036
г ,611,0.00086329
зг,597,0.00084351
дл,591,0.00083504
ву,590,0.00083362
ум,583,0.00082373
ий,581,0.00082091
ич,580,0.00081949
ды,578,0.00081667
дж,572,0.00080819
аг,559,0.00078982
кс,559,0.00078982
ьш,553,0.00078134
ьс,551,0.00077852
рн,551,0.00077852
ек,545,0.00077004
еб,544,0.00076863
жн,544,0.00076863
уп,544,0.00076863
ии,540,0.00076298
ищ,533,0.00075309
рь,530,0.00074885
ул,529,0.00074743
кт,524,0.00074037
пл,518,0.00073189
ир,507,0.00071635
ещ,505,0.00071352
ша,500,0.00070646
ач,493,0.00069657
бл,481,0.00067961
ае,477,0.00067396
гр,473,0.00066831
ба,467,0.00065983
ыс,466,0.00065842
тя,465,0.00065701
зо,462,0.00065277
рт,453,0.00064005
кл,451,0.00063723
ыт,448,0.00063299
ур,447,0.00063158
сс,432,0.00061038
см,430,0.00060756
ай,427,0.00060332
зд,427,0.00060332
ех,426,0.00060190
лы,413,0.00058354
це,406,0.00057365
ув,405,0.00057223
оя,394,0.00055669
уб,392,0.00055386
шл,389,0.00054963
еш,387,0.00054680
ян,384,0.00054256
пу,384,0.00054256
шк,375,0.00052985
ук,374,0.00052843
жк,371,0.00052419
нт,371,0.00052419
цы,368,0.00051995
мя,367,0.00051854
ух,365,0.00051572
ох,365,0.00051572
дь,364,0.00051430
чн,364,0.00051430
су,360,0.00050865
ям,360,0.00050865
ца,350,0.00049452
вш,345,0.00048746
рж,345,0.00048746
зи,335,0.00047333
тк,333,0.00047050
 ш,326,0.00046061
зм,326,0.00046061
яс,325,0.00045920
ке,324,0.00045779
зе,315,0.00044507
ье,307,0.00043377
зу,297,0.00041964
пы,295,0.00041681
уш,291,0.00041116
иб,291,0.00041116
яд,287,0.00040551
яв,287,0.00040551
ию,282,0.00039844
ью,281,0.00039703
